gene	GSM9850794	GSM9850795	GSM9850796	GSM9850797	GSM9850798	GSM9850799	GSM9850800
0610005C13Rik	2	0	3	6	2	0	0
0610006L08Rik	0	0	0	1	1	0	0
0610009B22Rik	490	96	273	374	74	53	68
0610009E02Rik	56	11	0	0	0	5	4
0610009L18Rik	180	29	0	0	0	10	8
0610010F05Rik	354	52	649	637	243	0	0
0610010K14Rik	865	102	203	175	34	73	107
0610012D04Rik	1	1	4	1	1	0	0
0610012G03Rik	4009	271	1458	1809	242	0	0
0610025J13Rik	14	1	2	4	1	1	0
0610030E20Rik	474	106	168	307	72	64	30
0610031O16Rik	0	0	2	0	1	0	0
0610033M10Rik	0	0	1	0	0	0	0
0610038B21Rik	37	4	20	31	3	4	2
0610039K10Rik	7	1	1	2	1	0	0
0610040B10Rik	123	6	30	31	13	14	6
0610040F04Rik	2	0	44	73	4	4	0
0610040J01Rik	47	2	74	36	3	17	1
0610043K17Rik	5	2	199	214	112	10	3
0710001A04Rik	6	0	3	0	0	0	0
1010001B22Rik	16	7	4	7	1	2	0
1010001N08Rik	28	41	303	139	67	0	0
1100001I12Rik	0	0	4	2	0	0	0
1110002E22Rik	6	0	7	4	0	0	2
1110002J07Rik	2	0	0	5	0	0	0
1110002L01Rik	59	12	90	105	37	20	12
1110002O04Rik	31	6	4	3	4	0	0
1110004F10Rik	5729	415	2107	2189	457	255	293
1110006O24Rik	60	6	22	14	4	4	2
1110008E08Rik	0	0	0	0	0	0	0
1110008P14Rik	1872	187	559	735	123	0	0
1110012L19Rik	512	61	250	236	66	0	0
1110013H19Rik	9	3	0	0	0	1	1
1110015O18Rik	0	0	0	0	0	0	0
1110017D15Rik	3	0	53	43	12	3	1
1110018N20Rik	12	1	0	0	0	6	1
1110019B22Rik	0	0	0	0	0	0	0
1110019D14Rik	89	16	78	106	46	19	18
1110020A21Rik	17	3	8	14	0	2	0
1110025L11Rik	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	0	2	0
1110028F18Rik	0	0	7	4	0	0	1
1110032A03Rik	602	72	245	284	47	0	0
1110032F04Rik	2	0	3	4	5	0	0
1110035H17Rik	50	7	31	29	5	4	3
1110038B12Rik	2905	271	0	0	0	187	245
1110038F14Rik	1600	135	509	751	170	102	95
1110046J04Rik	363	23	128	161	45	10	13
1110051M20Rik	302	42	460	714	269	0	0
1110057P08Rik	0	0	0	0	0	0	0
1110059E24Rik	765	73	377	478	103	73	83
1110059G10Rik	768	94	377	342	95	64	60
1110065P20Rik	2716	198	825	1220	124	134	130
1190001M18Rik	1	1	0	3	0	0	1
1190005I06Rik	86	4	22	23	1	5	9
1190007I07Rik	149	51	127	150	40	0	0
1190028D05Rik	0	0	0	0	0	0	0
1200007C13Rik	426	11	1184	697	150	64	27
1300002E11Rik	466	71	147	332	70	52	29
1300014J16Rik	5	3	3	0	0	1	0
1300017J02Rik	1	1	18	21	9	0	0
1500002C15Rik	24	5	5	9	1	3	3
1500002F19Rik	35	1	0	0	0	0	0
1500004A13Rik	66	8	0	0	0	23	15
1500009C09Rik	2	0	2	1	1	0	0
1500009L16Rik	164	13	105	232	46	3	2
1500011B03Rik	1520	108	102	89	25	90	101
1500012K07Rik	0	0	0	0	0	0	0
1500015A07Rik	89	14	27	35	8	11	6
1500015L24Rik	0	0	0	0	0	13	4
1500026H17Rik	26	3	0	0	0	2	1
1500032F14Rik	0	0	0	0	0	1	1
1500035N22Rik	6	0	10	10	4	3	0
1520401A03Rik	0	0	2	0	0	0	0
1600002D24Rik	1	0	0	0	0	0	0
1600002K03Rik	719	63	225	324	52	0	0
1600010M07Rik	19	0	398	449	109	30	27
1600012H06Rik	679	131	366	527	88	75	47
1600012P17Rik	0	0	0	0	0	0	0
1600014C10Rik	222	39	145	222	32	46	24
1600014C23Rik	21	0	5	6	0	0	1
1600019K03Rik	0	0	0	0	0	0	0
1600020E01Rik	249	45	673	492	114	69	47
1600022D10Rik	1	0	0	0	0	3	0
1600025M17Rik	1	0	1	0	0	0	0
1600027J07Rik	22	0	5	14	0	0	0
1700001C02Rik	0	0	0	0	0	0	0
1700001C19Rik	0	0	2	1	0	0	1
1700001D01Rik	0	0	2	2	0	0	0
1700001F09Rik	1	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0	0
1700001G11Rik	23	4	0	0	0	3	2
1700001J03Rik	3	0	2	0	0	0	0
1700001J04Rik	0	0	0	0	0	0	0
1700001K19Rik	0	0	39	56	14	0	0
1700001K23Rik	1	0	0	0	0	1	0
1700001L05Rik	37	5	38	36	5	5	1
1700001L19Rik	13	4	1	2	1	0	0
1700001N15Rik	0	0	0	0	0	0	0
1700001O22Rik	13	2	9	9	1	1	0
1700001P01Rik	0	2	29	15	1	0	0
1700003C15Rik	0	0	1	0	0	0	0
1700003D09Rik	0	0	0	0	0	0	1
1700003E16Rik	4	5	2	2	1	1	0
1700003E24Rik	0	0	0	0	0	0	0
1700003F12Rik	167	5	145	77	9	3	2
1700003G18Rik	3	1	0	0	0	0	2
1700003H04Rik	0	0	0	0	0	0	0
1700003I16Rik	1	0	7	1	1	0	0
1700003I22Rik	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0
1700003M07Rik	5	1	6	11	0	7	2
1700003O11Rik	0	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0
1700006H21Rik	2	0	0	1	0	0	0
1700006J14Rik	4	0	6	5	0	0	0
1700007F19Rik	0	0	0	2	0	0	0
1700007H22Rik	1	0	0	0	0	0	0
1700007J10Rik	4	2	0	0	0	0	0
1700007K13Rik	8	1	1	3	1	0	0
1700007L15Rik	78	8	0	0	0	12	4
1700007M16Rik	0	0	0	0	0	0	0
1700007P06Rik	2	1	0	1	0	0	0
1700008B11Rik	0	0	3	2	0	0	0
1700008C04Rik	0	0	0	1	0	0	0
1700008J07Rik	89	13	30	46	10	4	7
1700008K24Rik	0	0	0	0	0	0	0
1700008N11Rik	0	0	0	0	0	0	0
1700008O03Rik	8	2	10	5	1	0	0
1700008P02Rik	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0	0
1700009N14Rik	27	0	11	7	0	0	0
1700010B08Rik	0	0	2	1	0	0	0
1700010B13Rik	0	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0	0
1700010G06Rik	0	0	0	1	0	0	0
1700010H22Rik	0	0	0	1	0	0	0
1700010I02Rik	0	0	0	0	0	0	0
1700010I14Rik	25	7	66	86	9	2	1
1700010J16Rik	0	0	1	0	0	0	0
1700010K23Rik	0	0	0	4	0	0	0
1700010K24Rik	2	0	25	40	3	7	6
1700010L04Rik	0	0	2	0	0	0	0
1700011B04Rik	0	0	0	0	0	0	0
1700011C11Rik	1	0	1	0	0	0	0
1700011D18Rik	1	0	1	0	0	0	0
1700011L03Rik	1	0	0	0	0	0	0
1700011L22Rik	1	0	4	6	1	0	0
1700011M02Rik	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0
1700012B07Rik	5	0	1	2	0	0	0
1700012B09Rik	106	2	3	1	0	0	0
1700012C08Rik	0	0	0	0	0	0	0
1700012C14Rik	13	0	0	2	0	0	0
1700012D14Rik	35	18	0	0	0	0	0
1700012D16Rik	0	0	0	0	0	0	0
1700012E03Rik	0	0	0	0	0	0	0
1700012I11Rik	0	0	1	1	1	0	0
1700012J15Rik	0	0	0	2	0	0	0
1700012P22Rik	0	0	1	2	1	0	0
1700013D24Rik	0	0	0	0	0	0	0
1700013F07Rik	2	0	6	2	1	0	0
1700013G24Rik	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	1	0	0	0
1700013M08Rik	0	0	0	1	0	0	0
1700013N06Rik	0	0	0	0	0	0	0
1700014D04Rik	1	0	2	3	0	0	0
1700014F14Rik	0	0	0	0	0	0	0
1700014L14Rik	0	0	0	0	0	0	0
1700015C15Rik	0	0	2	2	0	1	0
1700015C17Rik	0	0	0	0	0	0	0
1700015F17Rik	5	1	11	2	0	0	0
1700015G11Rik	0	0	0	0	0	0	0
1700015H07Rik	0	0	0	0	0	0	0
1700015I17Rik	0	0	0	3	0	0	0
1700015O11Rik	0	0	0	0	0	0	0
1700016B01Rik	0	0	0	0	0	0	0
1700016C15Rik	7	0	2	2	0	0	0
1700016D06Rik	0	0	14	13	7	0	0
1700016F12Rik	0	1	4	5	7	1	0
1700016G22Rik	0	1	3	3	0	0	0
1700016H03Rik	0	0	0	0	0	0	0
1700016H13Rik	0	0	0	0	0	0	0
1700016J18Rik	3	0	0	0	0	0	0
1700016K05Rik	0	0	6	15	0	0	0
1700016K19Rik	1	0	0	0	0	1	0
1700016L21Rik	0	0	0	2	0	0	0
1700016P03Rik	95	5	0	0	0	8	23
1700016P04Rik	0	0	0	0	0	0	0
1700017B05Rik	1279	130	794	807	74	100	124
1700017D01Rik	0	0	0	1	0	0	0
1700017G19Rik	0	0	0	1	0	0	0
1700017I07Rik	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0	0
1700017L05Rik	0	0	0	1	0	0	0
1700017M07Rik	3	2	0	2	0	0	0
1700017N19Rik	0	0	5	3	0	0	0
1700018A04Rik	3	0	5	1	3	0	5
1700018A23Rik	0	0	0	1	0	0	0
1700018B08Rik	0	0	2	2	0	0	0
1700018B24Rik	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0
1700018L02Rik	12	2	7	12	1	0	0
1700018P08Rik	0	0	0	0	0	0	0
1700019A02Rik	0	0	5	11	5	0	0
1700019C18Rik	0	0	0	0	0	0	0
1700019D03Rik	26	40	37	161	124	3	2
1700019E08Rik	0	0	0	1	0	0	0
1700019F05Rik	0	0	0	0	0	0	0
1700019G24Rik	0	0	0	0	0	0	0
1700019J19Rik	0	0	3	1	0	0	0
1700019L13Rik	108	1	140	96	16	2	1
1700019N19Rik	0	0	0	1	0	0	0
1700019P21Rik	0	0	0	1	0	0	0
1700020A23Rik	34	3	4	32	0	0	0
1700020D05Rik	6	1	1	1	2	0	0
1700020D12Rik	0	0	0	0	0	0	0
1700020G17Rik	0	0	13	96	2	3	9
1700020L24Rik	10	1	3	5	0	1	0
1700020M21Rik	0	0	0	0	0	0	0
1700020N01Rik	0	0	0	3	0	0	0
1700020N15Rik	0	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	0	0
1700021A07Rik	0	0	1	1	0	1	1
1700021F02Rik	0	0	0	0	0	0	0
1700021F05Rik	730	70	375	344	74	0	0
1700021F07Rik	0	0	0	0	0	0	0
1700021F13Rik	0	1	0	5	2	0	0
1700021G15Rik	0	0	0	0	0	0	0
1700021J08Rik	0	0	0	0	0	0	0
1700021L23Rik	0	0	0	0	0	0	0
1700021N21Rik	0	0	0	0	0	0	0
1700021P04Rik	0	0	0	0	0	0	0
1700022A22Rik	0	0	1	1	0	0	0
1700022E09Rik	0	0	0	2	0	0	0
1700022H01Rik	1	0	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0	0
1700022I11Rik	1	1	12	11	1	0	1
1700022N22Rik	6	2	6	2	0	2	1
1700023C21Rik	0	0	0	0	0	0	0
1700023F02Rik	0	0	5	4	0	0	0
1700023F06Rik	31	27	38	17	6	0	0
1700023G09Rik	0	0	0	0	0	0	0
1700023H06Rik	13	5	0	0	0	0	0
1700024B05Rik	0	0	0	0	0	0	0
1700024B18Rik	0	0	23	33	6	1	0
1700024G13Rik	0	0	0	0	0	0	0
1700024I08Rik	0	0	2	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	1	0
1700025C18Rik	0	0	0	0	0	0	0
1700025D23Rik	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0
1700025G04Rik	2418	192	1576	1671	326	90	183
1700025H01Rik	2	0	0	0	0	0	0
1700025J12Rik	0	0	0	0	0	0	0
1700025K04Rik	0	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0	0
1700025L06Rik	0	0	0	0	0	0	0
1700025M24Rik	0	0	1	0	0	0	0
1700025N21Rik	0	1	0	2	0	3	1
1700025N23Rik	1	0	6	3	1	0	0
1700025O08Rik	0	0	0	0	0	0	0
1700026D11Rik	0	2	2	2	0	0	0
1700026F02Rik	0	0	1	1	0	0	0
1700026J12Rik	0	0	0	1	0	0	0
1700026J14Rik	0	0	1	0	0	0	0
1700026N04Rik	1	0	0	0	0	1	0
1700027A07Rik	1	0	0	1	0	0	0
1700027A15Rik	0	0	1	1	0	0	0
1700027F06Rik	0	0	0	0	0	0	0
1700027F09Rik	0	0	1	0	0	0	0
1700027H10Rik	0	0	0	0	0	0	0
1700027I24Rik	1	0	0	0	0	0	0
1700027J07Rik	0	0	0	0	0	0	0
1700028D13Rik	1	0	2	2	1	0	0
1700028E10Rik	9	7	0	0	0	17	4
1700028I16Rik	3	0	0	2	0	0	2
1700028J19Rik	10	0	5	6	1	0	3
1700028K03Rik	3	1	4	1	1	1	0
1700028M03Rik	0	0	0	2	0	0	0
1700028N14Rik	8	0	0	0	0	2	0
1700028P14Rik	0	0	1	1	0	0	0
1700028P15Rik	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0
1700029E06Rik	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0
1700029H14Rik	0	0	79	94	17	0	2
1700029I15Rik	11	3	7	3	0	0	0
1700029J03Rik	0	0	0	2	0	0	0
1700029J07Rik	39	16	34	33	20	6	3
1700029M03Rik	0	0	0	0	0	0	0
1700029M20Rik	0	0	0	0	0	0	0
1700029N11Rik	0	0	2	1	0	0	0
1700029P11Rik	0	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0	0
1700030C12Rik	6	0	0	0	0	0	0
1700030C14Rik	0	1	0	0	0	0	0
1700030E10Rik	0	0	3	0	0	0	0
1700030F04Rik	0	0	1	1	0	1	0
1700030J22Rik	11	3	8	13	7	0	0
1700030K09Rik	123	22	75	88	27	21	19
1700030L20Rik	0	0	0	1	0	0	0
1700030L22Rik	0	0	0	1	0	0	0
1700030M09Rik	0	0	0	0	0	0	0
1700030N03Rik	3	0	85	119	17	3	7
1700030O20Rik	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0	0
1700031F10Rik	0	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0	0
1700034B16Rik	0	0	0	0	0	0	0
1700034E13Rik	1	0	0	1	0	0	0
1700034G24Rik	0	0	0	0	0	0	0
1700034H15Rik	3	3	6	3	1	0	1
1700034I23Rik	4	0	0	0	1	0	0
1700034J05Rik	2	0	2	1	1	1	0
1700034K08Rik	0	0	0	0	0	0	0
1700034P13Rik	1	0	17	74	11	1	21
1700036A12Rik	4	0	21	20	14	0	0
1700036G14Rik	0	0	0	0	0	0	0
1700036O09Rik	0	0	0	0	0	0	0
1700037C06Rik	1	0	0	0	0	0	0
1700037C18Rik	127	17	49	53	7	8	13
1700037F03Rik	1	0	11	8	1	0	1
1700037H04Rik	442	50	122	181	45	17	16
1700039E22Rik	0	0	0	0	0	0	0
1700039M10Rik	3	1	0	0	0	0	0
1700039M15Rik	0	0	1	2	0	0	0
1700040D17Rik	1	0	2	1	0	0	0
1700040E09Rik	0	0	0	0	0	0	0
1700040F15Rik	0	0	0	0	0	0	0
1700040F17Rik	0	0	0	0	0	0	0
1700040L08Rik	0	0	3	0	1	0	0
1700041B01Rik	0	0	0	0	0	0	0
1700041C23Rik	0	0	1	0	0	0	0
1700041G16Rik	7	0	19	19	0	2	0
1700041I07Rik	1	0	0	1	0	0	0
1700041M05Rik	0	0	0	0	0	0	0
1700041M19Rik	0	0	1	1	1	0	0
1700042D02Rik	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0
1700042O05Rik	0	0	0	0	0	0	0
1700042O10Rik	12	0	3	6	0	1	6
1700044C05Rik	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0
1700045H11Rik	0	0	4	7	1	0	0
1700046C09Rik	0	0	0	0	0	0	0
1700047A11Rik	0	0	1	2	0	0	0
1700047E10Rik	0	0	0	0	0	0	0
1700047F07Rik	0	0	8	34	0	0	0
1700047G03Rik	0	0	1	1	0	0	0
1700047G07Rik	0	0	0	0	0	0	0
1700047I17Rik2	0	0	1	1	0	0	0
1700047K16Rik	6	0	0	0	0	1	0
1700047L14Rik	0	0	0	1	0	0	0
1700047M11Rik	0	0	3	0	0	0	0
1700048F04Rik	0	0	0	0	0	0	0
1700048M11Rik	0	0	2	0	0	0	0
1700048O14Rik	0	0	0	0	0	0	0
1700048O20Rik	57	12	15	33	3	2	6
1700048P04Rik	0	0	0	0	0	0	0
1700049E15Rik	0	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0
1700052H01Rik	0	0	1	0	0	0	0
1700052I22Rik	0	0	0	1	0	0	0
1700052K11Rik	132	14	63	103	14	6	8
1700054A03Rik	1	0	0	1	0	1	2
1700054K02Rik	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0
1700054M17Rik	0	0	2	1	0	0	0
1700054O05Rik	0	0	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0	0
1700055D18Rik	22	3	9	8	2	1	1
1700056E22Rik	44	4	15	25	1	2	2
1700056N10Rik	23	2	24	30	10	2	2
1700057G04Rik	8	0	25	11	1	0	1
1700057H15Rik	0	0	2	1	0	0	0
1700057H21Rik	0	0	1	1	0	0	0
1700058P15Rik	4	0	2	5	0	0	0
1700060C16Rik	0	0	10	17	1	0	0
1700060C20Rik	2	0	0	0	0	0	0
1700060J05Rik	0	0	0	0	0	0	0
1700060O08Rik	0	0	0	0	0	0	0
1700061E17Rik	0	0	0	0	0	0	0
1700061E18Rik	0	0	0	1	0	0	0
1700061F12Rik	0	0	0	0	0	0	0
1700061G19Rik	29	2	11	14	5	0	0
1700061H18Rik	0	0	6	5	0	0	0
1700061I17Rik	2	0	0	1	0	0	0
1700061J23Rik	0	0	1	3	0	0	0
1700061N14Rik	0	0	77	116	13	0	0
1700062C10Rik	1	0	0	0	2	0	0
1700063A18Rik	0	0	0	0	0	0	0
1700063D05Rik	1	0	5	2	1	0	0
1700063H04Rik	0	0	0	0	0	0	0
1700063H06Rik	0	0	0	0	0	0	0
1700063J08Rik	38	1	0	0	0	1	0
1700063O14Rik	0	0	0	0	0	0	0
1700064H15Rik	0	1	4	3	1	1	0
1700064J06Rik	0	0	0	0	0	0	0
1700064M15Rik	10	0	5	10	0	0	1
1700065D16Rik	2	1	2	3	0	0	0
1700065J11Rik	0	1	2	0	0	0	0
1700065J18Rik	0	0	0	1	0	0	0
1700065L07Rik	0	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0	0
1700066B17Rik	2	0	3	6	0	1	0
1700066B19Rik	9	0	8	9	1	0	0
1700066C05Rik	0	0	0	0	0	0	0
1700066J03Rik	1	2	0	0	0	2	0
1700066M21Rik	80	22	91	95	16	8	10
1700066N21Rik	0	0	0	0	0	0	0
1700066O22Rik	1	0	0	0	0	0	0
1700067G17Rik	0	0	0	0	0	0	0
1700067K01Rik	3	0	7	9	2	0	0
1700067P10Rik	0	0	0	0	0	0	0
1700069B07Rik	0	0	1	1	0	1	0
1700069L16Rik	0	0	5	0	1	0	0
1700069P05Rik	0	0	0	0	0	0	0
1700071G01Rik	0	0	0	0	0	0	0
1700071M16Rik	2	0	2	0	1	1	0
1700072B07Rik	0	0	0	1	0	0	0
1700072G22Rik	0	0	4	3	0	0	0
1700072O05Rik	0	0	0	0	0	0	0
1700074H08Rik	0	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0	0
1700080C20Rik	0	0	0	0	0	0	0
1700080G11Rik	0	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0
1700081B01Rik	0	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0	0
1700081N11Rik	5	0	0	0	0	0	0
1700082M22Rik	0	0	1	0	1	0	0
1700083H02Rik	0	0	0	0	0	0	0
1700084C06Rik	4	0	56	84	39	16	15
1700084D21Rik	0	0	0	0	0	0	0
1700084E18Rik	52	6	24	8	0	1	4
1700084F23Rik	0	0	1	1	1	0	0
1700084M14Rik	0	0	0	0	0	0	0
1700085C21Rik	0	0	0	0	0	0	0
1700085D07Rik	0	0	27	18	7	2	2
1700086D15Rik	2	1	6	1	0	0	0
1700086O06Rik	175	12	72	79	20	14	8
1700086P04Rik	9	2	17	3	1	0	1
1700087I21Rik	3	1	0	0	0	2	0
1700087M22Rik	2	0	10	3	1	0	2
1700088E04Rik	62	12	35	48	7	5	14
1700092C02Rik	0	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0	0
1700092C17Rik	0	0	0	0	0	0	0
1700092E19Rik	0	0	0	0	0	0	0
1700092K14Rik	0	0	0	0	0	0	0
1700092M07Rik	5	1	0	2	0	0	0
1700093J21Rik	0	0	0	0	0	1	0
1700093K21Rik	5	0	10	2	2	0	0
1700094D03Rik	50	30	0	0	0	0	0
1700094J05Rik	0	0	3	1	2	0	0
1700094M23Rik	0	0	1	0	1	1	0
1700094M24Rik	0	0	0	0	0	0	0
1700095A13Rik	0	0	0	0	0	0	1
1700095A21Rik	0	0	0	0	0	0	0
1700095B10Rik	0	0	0	0	0	0	0
1700095J03Rik	5	0	0	4	1	0	0
1700095J07Rik	1	0	3	0	1	0	0
1700095J12Rik	0	0	1	0	0	0	0
1700095K22Rik	0	0	0	0	0	0	0
1700096J18Rik	0	0	9	0	0	0	0
1700096K18Rik	224	34	72	88	24	16	16
1700097N02Rik	2	7	6	4	2	6	1
1700099I09Rik	2	0	0	0	0	0	0
1700100I10Rik	0	0	0	0	0	0	0
1700100L14Rik	0	0	0	0	0	0	0
1700101I11Rik	17	4	0	0	0	2	0
1700101I19Rik	0	0	0	0	0	0	0
1700101O22Rik	0	0	0	0	0	0	0
1700102H20Rik	12	5	8	11	0	1	2
1700102P08Rik	5	1	42	63	24	3	2
1700104B16Rik	2	0	0	0	0	0	0
1700104L18Rik	0	0	0	0	0	0	0
1700105G05Rik	0	0	0	0	0	0	0
1700105P06Rik	17	2	12	8	4	0	2
1700106O07Rik	0	0	0	0	0	0	0
1700108F19Rik	6	2	0	0	0	0	0
1700108J01Rik	0	0	2	1	0	0	0
1700108N06Rik	0	0	0	0	0	0	0
1700108N11Rik	0	0	0	0	0	0	0
1700109G14Rik	0	0	6	3	0	0	0
1700109G15Rik	0	0	0	0	0	0	0
1700109H08Rik	49	12	189	172	47	9	13
1700109I08Rik	0	0	0	0	0	0	1
1700109K24Rik	3	0	42	64	10	1	2
1700110C19Rik	1	0	2	4	2	2	2
1700110I01Rik	0	0	0	0	0	0	0
1700110I07Rik	0	0	0	0	0	0	0
1700110K17Rik	7	1	7	4	1	2	2
1700111E14Rik	0	0	2	1	0	0	0
1700111N16Rik	0	0	12	7	1	0	0
1700112D23Rik	2	1	2	5	2	0	0
1700112H15Rik	0	0	3	2	0	0	0
1700112J05Rik	0	0	3	4	1	0	0
1700112J16Rik	4	1	36	25	3	0	1
1700112K13Rik	0	0	0	0	0	0	0
1700112M02Rik	0	0	1	4	0	0	0
1700113A16Rik	31	4	30	33	7	3	3
1700113B09Rik	0	0	0	0	0	0	1
1700113H08Rik	0	0	1	0	1	0	0
1700116B05Rik	0	0	0	0	0	0	0
1700116H05Rik	0	0	0	0	0	0	0
1700119H24Rik	1	0	2	0	0	0	0
1700119I11Rik	1	0	0	0	0	0	0
1700120B22Rik	0	0	0	0	0	0	0
1700120C14Rik	86	9	0	0	0	9	8
1700120C18Rik	1	0	0	0	0	0	0
1700120E14Rik	0	0	0	0	0	0	0
1700120G07Rik	3	0	0	1	0	0	0
1700120G11Rik	0	0	0	2	0	0	0
1700120K04Rik	2	0	1	0	0	0	0
1700120O09Rik	1	0	0	0	0	0	0
1700121C08Rik	0	0	18	29	1	0	0
1700121L03Rik	0	0	0	0	0	0	0
1700121L16Rik	0	0	0	0	1	0	0
1700121N20Rik	0	0	0	0	0	0	0
1700122C19Rik	0	0	0	0	0	0	0
1700122D07Rik	0	0	0	0	0	0	0
1700122E12Rik	4	1	0	0	0	1	1
1700122H20Rik	0	0	0	0	0	0	0
1700122O11Rik	0	0	0	0	0	0	0
1700123J17Rik	0	0	3	0	0	0	0
1700123K08Rik	0	0	0	0	0	0	0
1700123L14Rik	1	0	0	0	0	0	0
1700123M08Rik	54	14	0	0	0	10	8
1700123O12Rik	0	0	3	2	0	0	0
1700123O20Rik	1126	135	483	633	118	91	75
1700123O21Rik	0	0	0	0	0	0	0
1700124L16Rik	9	4	22	5	1	0	0
1700124M09Rik	0	0	0	0	0	0	0
1700125G02Rik	0	0	0	0	0	0	0
1700125G22Rik	0	0	0	2	1	0	0
1700125H03Rik	0	0	1	5	0	0	0
1700125H20Rik	2	0	11	6	0	0	0
1700126A01Rik	0	0	0	0	0	0	0
1700126G02Rik	0	0	21	20	4	3	2
1700126H18Rik	0	0	0	0	0	0	0
1700127F24Rik	0	0	0	0	0	0	0
1700128A07Rik	2	1	0	0	0	1	0
1700128E19Rik	0	0	0	0	0	0	0
1700128I11Rik	0	0	0	0	0	0	0
1700129C05Rik	0	0	0	0	0	0	0
1700129L04Rik	0	0	0	0	0	0	0
1810006J02Rik	0	0	0	3	0	6	1
1810007C17Rik	0	0	0	0	0	0	0
1810007D17Rik	4	0	2	1	1	0	0
1810008B01Rik	0	0	0	1	1	0	1
1810008I18Rik	8	1	2	5	0	0	1
1810009A15Rik	171	11	66	90	32	142	134
1810009J06Rik	0	0	0	0	0	0	0
1810010H24Rik	54	41	29	22	20	1	2
1810010K12Rik	1	0	0	0	0	0	0
1810012K08Rik	0	0	1	1	0	0	0
1810012K16Rik	4	0	4	1	0	0	0
1810013D15Rik	0	0	0	0	0	0	1
1810013L24Rik	760	135	1444	1365	253	0	0
1810014P07Rik	0	0	0	0	0	0	0
1810019D21Rik	20	8	0	0	0	6	3
1810019N24Rik	5	0	6	4	3	0	2
1810020O05Rik	0	0	0	0	0	0	0
1810021B22Rik	70	11	29	32	7	6	2
1810024B03Rik	215	25	129	74	28	14	16
1810026B05Rik	584	138	0	0	0	0	0
1810028F09Rik	19	0	0	0	19	0	0
1810030O07Rik	657	118	424	568	118	66	61
1810034E14Rik	51	10	61	78	19	9	4
1810035K13Rik	0	0	0	0	0	0	0
1810037I17Rik	4481	961	2858	3524	661	570	471
1810041H14Rik	5	2	3	7	5	5	3
1810044D09Rik	110	17	53	38	4	5	7
1810044K17Rik	0	0	0	0	0	0	0
1810046K07Rik	0	0	1	2	1	0	0
1810049I09Rik	0	0	0	0	0	0	0
1810049J17Rik	4	0	2	6	0	0	0
1810053B23Rik	1	0	0	0	0	0	0
1810055G02Rik	1128	80	500	715	92	49	68
1810058I24Rik	6160	572	2924	2691	394	0	0
1810058N15Rik	0	0	0	0	0	0	0
1810059C17Rik	3	0	0	0	0	1	1
1810059H22Rik	43	5	0	0	0	1	5
1810062G17Rik	86	1	73	130	11	1	4
1810062O18Rik	23	2	21	33	17	4	3
1810063I02Rik	2	1	0	0	0	0	0
1810064F22Rik	1	0	2	0	2	1	0
1810065E05Rik	3	1	0	3	0	0	0
1810073O08Rik	5	2	0	0	0	0	0
2010001A14Rik	106	23	0	0	0	10	2
